"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2025","98.93","98.97","99.14","98.78","","0.00%"
"10/21/2025","98.93","98.61","98.98","98.51","0.00K","0.35%"
"10/20/2025","98.59","98.67","98.67","98.39","0.00K","0.16%"
"10/17/2025","98.43","98.26","98.55","98.03","","0.10%"
"10/16/2025","98.34","98.67","98.70","98.30","0.00K","-0.46%"
"10/15/2025","98.79","99.05","99.08","98.65","0.00K","-0.26%"
"10/14/2025","99.05","99.30","99.47","98.99","0.00K","-0.22%"
"10/13/2025","99.27","98.94","99.35","98.83","0.00K","0.29%"
"10/10/2025","98.98","99.39","99.43","98.81","","-0.56%"
"10/09/2025","99.54","98.84","99.56","98.70","0.00K","0.63%"
"10/08/2025","98.92","98.61","99.06","98.59","0.00K","0.34%"
"10/07/2025","98.58","98.09","98.66","98.09","0.00K","0.48%"
"10/06/2025","98.11","97.96","98.50","97.96","0.00K","0.39%"
"10/03/2025","97.72","97.85","97.95","97.60","","-0.13%"
"10/02/2025","97.85","97.70","98.13","97.52","0.00K","0.14%"
"10/01/2025","97.71","97.82","97.88","97.46","0.00K","-0.07%"
"09/30/2025","97.78","97.91","98.04","97.63","0.00K","-0.13%"
"09/29/2025","97.91","98.17","98.18","97.77","0.00K","-0.25%"
"09/26/2025","98.15","98.50","98.53","98.13","0.00K","-0.41%"
"09/25/2025","98.55","97.82","98.61","97.74","0.00K","0.69%"
"09/24/2025","97.87","97.24","97.92","97.22","0.00K","0.63%"
"09/23/2025","97.26","97.32","97.46","97.20","0.00K","-0.08%"
"09/22/2025","97.34","97.65","97.82","97.30","0.00K","-0.31%"